id,price,neighbourhood_cleansed,neighbourhood_group_cleansed,review_scores_rating
626620718656305911,176.0,Can Baró,Horta-Guinardó,4.53
626656358241181137,60.0,la Nova Esquerra de l'Eixample,Eixample,4.63
633850880957474964,191.0,Sant Antoni,Eixample,4.61
633866515325108632,224.0,Sant Antoni,Eixample,4.61
634030958801864905,65.0,Hostafrancs,Sants-Montjuïc,4.67
634465818977632096,305.0,el Raval,Ciutat Vella,4.89
634553776336898095,130.0,el Barri Gòtic,Ciutat Vella,4.0
634601443915474911,166.0,el Barri Gòtic,Ciutat Vella,4.67
634656498259590501,60.0,la Sagrera,Sant Andreu,4.64
634677796682925768,89.0,el Poble Sec,Sants-Montjuïc,5.0
635307276650480550,54.0,les Corts,Les Corts,4.71
626689926992076504,63.0,Hostafrancs,Sants-Montjuïc,4.0
626712028799576394,124.0,el Poblenou,Sant Martí,5.0
627265064954604092,115.0,el Barri Gòtic,Ciutat Vella,4.62
627265292877158257,102.0,l'Antiga Esquerra de l'Eixample,Eixample,4.59
627265697042852881,113.0,la Barceloneta,Ciutat Vella,4.31
635390589497826280,225.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,4.64
635426407936522040,102.0,el Raval,Ciutat Vella,4.94
635886564805765649,95.0,Sant Antoni,Eixample,4.71
635943442519286467,114.0,la Sagrada Família,Eixample,5.0
635976615699376862,113.0,el Putxet i el Farró,Sarrià-Sant Gervasi,3.5
636015608363193942,70.0,el Poble Sec,Sants-Montjuïc,4.0
636102937115880254,60.0,la Font de la Guatlla,Sants-Montjuïc,4.52
636581892170480415,72.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.1
627902966300049789,141.0,la Vila de Gràcia,Gràcia,5.0
627904325471591703,46.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,5.0
627956207400888990,41.0,el Fort Pienc,Eixample,4.96
627960131995905508,131.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.74
627972517363386299,82.0,la Vila de Gràcia,Gràcia,4.67
628787300728683764,80.0,Sants - Badal,Sants-Montjuïc,4.67
628866731563695816,81.0,la Barceloneta,Ciutat Vella,4.64
636612036301815803,53.0,el Raval,Ciutat Vella,3.5
636655325451341783,64.0,la Vila de Gràcia,Gràcia,4.93
636685221354833303,39.0,Sant Antoni,Eixample,4.79
636761271918806414,193.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.2
636828911530563011,163.0,l'Antiga Esquerra de l'Eixample,Eixample,4.97
637529350254259653,97.0,Sants - Badal,Sants-Montjuïc,4.43
637661402684941139,223.0,la Dreta de l'Eixample,Eixample,5.0
629289044053161975,206.0,Sant Antoni,Eixample,4.5
629298564757960659,177.0,Sant Antoni,Eixample,4.48
629303927617545963,181.0,Sant Antoni,Eixample,4.44
629308395351117248,207.0,Sant Antoni,Eixample,4.74
629321625066354466,231.0,Sant Antoni,Eixample,4.72
629418939870050436,200.0,Sant Antoni,Eixample,4.5
638158839824519769,191.0,el Poble Sec,Sants-Montjuïc,4.59
638253085977120897,120.0,Sants,Sants-Montjuïc,5.0
638283429619410064,120.0,la Vila Olímpica del Poblenou,Sant Martí,4.25
638363133062684374,30.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,5.0
638402738585727778,177.0,el Poblenou,Sant Martí,4.81
638431762310242626,156.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,5.0
638445952966254794,118.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.72
629454524394812944,600.0,la Sagrada Família,Eixample,5.0
629459204333615554,55.0,Sants - Badal,Sants-Montjuïc,3.8
629464297530010453,68.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,3.0
629497618747603407,176.0,Hostafrancs,Sants-Montjuïc,4.63
630113123198107756,160.0,la Nova Esquerra de l'Eixample,Eixample,4.42
638668140826551216,195.0,Sant Antoni,Eixample,4.81
638683957539706246,223.0,Sant Antoni,Eixample,4.62
638700302223470933,162.0,Sant Antoni,Eixample,4.65
638791995198021450,198.0,Sant Antoni,Eixample,4.61
638889726879581899,35.0,el Guinardó,Horta-Guinardó,4.8
639084111497578120,300.0,el Fort Pienc,Eixample,4.71
639219734743882558,211.0,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,4.92
630113541566253039,48.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.71
630144914852978389,128.0,el Barri Gòtic,Ciutat Vella,4.59
630163949390931576,121.0,la Nova Esquerra de l'Eixample,Eixample,4.52
630164181422001308,119.0,la Dreta de l'Eixample,Eixample,4.66
